"","Response.ID","IP.address","User.agent","Response.status","Survey.URL","Start.time","Completion.time","Time.taken","Collector","JeffCo.resident","City.area","Age","Under7","7_12","13_18","19_34","35_54","55-64","65_74","75_older","RateNewPoolImportance","Under7_Non.swimmer","Under7_Beginner","Under7_Intermediate","Under7_Advanced","7_12_Non.swimmer","7_12_Beginner","7_12_Intermediate","7_12_Advanced","13_18_Non.swimmer","13_18_Beginner","13_18_Intermediate","13_18_Advanced","19_34_Non.swimmer","19_34_Beginner","19_34_Intermediate","19_34_Advanced","35_54_Non.swimmer","35_54_Beginner","35_54_Intermediate","35_54_Advanced","55-64_Non.swimmer","55-64_Beginner","55-64_Intermediate","55-64_Advanced","65_74_Non.swimmer","65_74_Beginner","65_74_Intermediate","65_74_Advanced","75_older_Non.swimmer","75_older_Beginner","75_older_Intermediate","75_older_Advanced","UsedAquaticsPast2Years","WhichAquaticFacilities","FacilityUsageRate","AquaAmenities_LapSwimming","AquaAmenities_OpenSwim","AquaAmenities_YouthLessons","AquaAmenities_AdultLessons","AquaAmenities_CompetitiveSwim","AquaAmenities_LifeguardTrain","AquaAmenities_Aerobics","AquaAmenities_SyncroSwim","AquaAmenities_SportsLeagues","AquaAmenities_SafetyTrain","AquaAmenities_Therapeutic","AquaAmenities_PartyRental","AquaAmenities_ParentChild","AquaAmenities_Sauna","AquaAmenities_HotTub","AquaAmenities_PublicShower","AquaAmenities_OutdoorPool","AquaAmenities_SplashPark","AquaAmenities_UsageRate","RecAmenities_AfterschoolCamps","RecAmenities_Preschool","RecAmenities_Childcare","RecAmenities_Playgroups","RecAmenities_FitnessClass","RecAmenities_PhysTherapy","RecAmenities_EventSpace","RecAmenities_WellnessClass","RecAmenities_Kitchen","RecAmenities_Cafe","RecAmenities_Gym","RecAmenities_OutPickleball","RecAmenities_InPickleball","RecAmenities_RockClimb","RecAmenities_TeenFit","RecAmenities_TeenCenter","RecAmenities_UsageRate","TaxSupport","Comments"
"915","mUCKGcfA","24.113.166.114","Mozilla/5.0 (iPhone; CPU iPhone OS 18_1_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.1.1 Mobile/15E148 Safari/604.1","COMPLETED","https://survey.zohopublic.com/zs/7rClYe?lang=en","2/4/2025 9:52","2/4/2025 10:01","8 mins 43 secs ","Pool Support and Amenities","Yes, I live here full-time","Port Hadlock-Irondale","35-54","","","","","2","","","","Somewhat important",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Other (Please specify) - mcminnamons","Less than once a month","Very likely","Somewhat likely","Not likely","Not likely","Not likely","Not likely","Somewhat likely","Not likely","Not likely","Not likely","Somewhat likely","Not likely","Somewhat likely","Somewhat likely","Somewhat likely","Somewhat likely","Not likely","Somewhat likely","Several times a month","Not likely","Not likely","Not likely","Not likely","Very likely","Somewhat likely","Somewhat likely","Somewhat likely","Somewhat likely","Somewhat likely","Somewhat likely","Somewhat likely","Somewhat likely","Somewhat likely","Not likely","Not likely","Several times a month","Yes","Please make the pool salt water and use as limited chemicals as possible. I will not be able to use the facilities if they were heavily chemical."
"1004","SGkIksn1","24.113.155.101","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36","COMPLETED","https://survey.zohopublic.com/zs/7rClYe?lang=en","2/4/2025 15:49","2/4/2025 15:53","3 mins 47 secs ","Pool Support and Amenities","Yes, I live here full-time","Port Townsend (outside the city limits)","65-74","","","","","","","1","","Very important",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,"Yes","Other (Please specify) - Hotel","Don't use an aquatic facility","Not likely","Somewhat likely","","","","","","","","","","","","","Somewhat likely","","","","Less than once a month","","","","","Very likely","","Very likely","Very likely","Very likely","Very likely","","","","Very likely","","","Several times a month","Yes",""
"1008","I1kvLWUT","24.113.128.172","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.2 Safari/605.1.15","COMPLETED","https://survey.zohopublic.com/zs/7rClYe?lang=en","2/4/2025 16:05","2/4/2025 16:10","5 mins 9 secs ","Pool Support and Amenities","Yes, I live here full-time","Quilcene","65-74","","","","","","","2","","Somewhat important",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,"Yes","Other (Please specify) - vacation options","Less than once a month","Very likely","Very likely","","","","","","","","","Very likely","Not likely","Very likely","","","","","","Less than once a month","","","","","Somewhat likely","Somewhat likely","Somewhat likely","","","","","","","","","","Less than once a month","I don't know/need more information",""
"1011","0ykMyCQO","98.97.45.22","Mozilla/5.0 (iPhone; CPU iPhone OS 17_5_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148","COMPLETED","https://survey.zohopublic.com/zs/7rClYe?lang=en","2/4/2025 16:21","2/4/2025 16:30","8 mins 57 secs ","Pool Support and Amenities","Yes, I live here full-time","Port Townsend (within city limits)","55-64","","","","","","1","","1","Somewhat important",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,"Yes","Other (Please specify) - Pools when traveling","Less than once a month","Very likely","Somewhat likely","Not likely","Not likely","Not likely","Not likely","Very likely","Not likely","Not likely","Not likely","Somewhat likely","Not likely","Not likely","Somewhat likely","Somewhat likely","Somewhat likely","Not likely","Not likely","More than once a week","Not likely","Not likely","Not likely","Not likely","Somewhat likely","Somewhat likely","Somewhat likely","Not likely","Not likely","Not likely","Somewhat likely","Not likely","Not likely","Not likely","Not likely","Not likely","Less than once a month","I don't know/need more information","This is less important than fixing the many many significantly-less-than-acceptable roads in Port Townsend"
"1015","jIC4dI4K","191.96.37.52","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36","COMPLETED","https://survey.zohopublic.com/zs/7rClYe?lang=en","2/4/2025 16:36","2/4/2025 16:42","5 mins 43 secs ","Pool Support and Amenities","Yes, I live here full-time","Port Townsend (within city limits)","65-74","","","","","","","1","","Very important",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,"Yes","Other (Please specify) - Diamond Park Juneau, AK","Less than once a month","Very likely","Very likely","Not likely","Not likely","Not likely","Not likely","Very likely","Somewhat likely","Not likely","Somewhat likely","Somewhat likely","Not likely","Not likely","Somewhat likely","Somewhat likely","Not likely","Not likely","Not likely","Several times a month","Not likely","Not likely","Not likely","Not likely","Somewhat likely","Not likely","Not likely","Somewhat likely","Not likely","Somewhat likely","Not likely","Somewhat likely","Somewhat likely","Not likely","Not likely","Not likely","Less than once a month","Yes",""
"1038","26C4gVQh","73.140.251.188","Mozilla/5.0 (Linux; Android 14; SM-S911U Build/UP1A.231005.007; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/132.0.6834.156 Mobile Safari/537.36 [FB_IAB/FB4A;FBAV/498.1.0.64.74;IABMV/1;]","COMPLETED","https://survey.zohopublic.com/zs/7rClYe?fbclid=IwY2xjawIPtY9leHRuA2FlbQIxMQABHSUnRJY1ENTi-DaHQ6j_ytrNmn4VR605ElrM2ztGMbCuAydUWA99Mzsg7g_aem_jJk8OKX3ZrMnV-JTJXtAng&lang=en","2/4/2025 19:08","2/4/2025 19:33","24 mins 21 secs ","Pool Support and Amenities","Yes, I live here part-time","Brinnon","65-74","","2","1","2","","","2","","Not important",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,"Yes","Other (Please specify) - Ymca in various locations","Less than once a month","Not likely","","Somewhat likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Somewhat likely","Not likely","Not likely","Never","Somewhat likely","Not likely","Not likely","","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Less than once a month","No","Since I live in Brinnon there is no way I support a tax for a facility too far away for easy access.  And anything I noted that might be used (like after school programs ) would only be used if transportation to/from was provided.  TLDR  summary...too far, too expensive"
"1049","sTC4y3ZF","174.231.137.219","Mozilla/5.0 (iPhone; CPU iPhone OS 18_1_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.1.1 Mobile/15E148 Safari/604.1","COMPLETED","https://survey.zohopublic.com/zs/7rClYe?fbclid=IwY2xjawIMm7JleHRuA2FlbQIxMQABHfkC0kDp__Olh_PMLXX6jh841K-m5po0_cBy1fNAkxrGeygIWEUP2reYyw_aem_kX_wHKZCOlzYhQMra7gu2g&lang=en","2/4/2025 21:33","2/4/2025 21:39","5 mins 55 secs ","Pool Support and Amenities","Yes, I live here full-time","Port Townsend (within city limits)","65-74","","","","","","","1","1","Very important",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,"Yes","Other (Please specify) - Suncadia","Less than once a month","Somewhat likely","Not likely","Not likely","Not likely","Not likely","Not likely","Somewhat likely","Not likely","Not likely","Not likely","Somewhat likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Less than once a month","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Somewhat likely","Not likely","Somewhat likely","Not likely","Not likely","Not likely","Not likely","Less than once a month","Yes","It might be nice to take our grandchildren there when they come to visit."
"1056","UIfTHqQC","24.113.165.50","Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Mobile Safari/537.36","COMPLETED","https://survey.zohopublic.com/zs/7rClYe?fbclid=IwY2xjawIP5plleHRuA2FlbQIxMQABHTGGrzIQ_tkzkqdRUCpuWmBgkr0pLT61z6aLm9BENB5rT_nHV8QS6-6j4A_aem_rtkEO1JOHselG6BYh_ufGA&lang=en","2/4/2025 22:38","2/4/2025 22:46","8 mins 52 secs ","Pool Support and Amenities","Yes, I live here full-time","Kala Point","18-34","46","","","","","","","","Somewhat important",NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Other (Please specify)","Less than once a month","Somewhat likely","Somewhat likely","Somewhat likely","Not likely","Not likely","Not likely","Somewhat likely","Not likely","Not likely","Not likely","Somewhat likely","Not likely","Not likely","Not likely","Not likely","Somewhat likely","Not likely","Not likely","Less than once a month","Not likely","Not likely","Not likely","Not likely","Somewhat likely","Somewhat likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Less than once a month","I don't know/need more information",""
"1093","VzC4zrVi","146.129.253.84","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36","COMPLETED","https://survey.zohopublic.com/zs/7rClYe?lang=en","2/5/2025 11:58","2/5/2025 12:04","6 mins 34 secs ","Pool Support and Amenities","Yes, I live here part-time","Brinnon","55-64","","","","1","2","1","","","Not important",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Other (Please specify) - Outside Jefferson County","Several times a month","Not likely","Somewhat likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Never","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Never","No","Now is not the time to be raising taxes for a facility that will only benefit a handful of people. If it can't be run self sufficiently on usage fees, it's not fair to make the whole county pay for something most will never use."
"1123","ngkaWLmc","24.113.131.135","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36 Edg/132.0.0.0","COMPLETED","https://survey.zohopublic.com/zs/7rClYe?lang=en","2/5/2025 17:58","2/5/2025 18:06","7 mins 44 secs ","Pool Support and Amenities","Yes, I live here full-time","Port Townsend (within city limits)","55-64","","","","","","1","1","","Very important",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,"Yes","Other (Please specify) - Out of state on vacation","Less than once a month","Somewhat likely","Somewhat likely","Not likely","Not likely","Not likely","Not likely","Very likely","Not likely","Not likely","Not likely","Very likely","Not likely","Not likely","Not likely","Somewhat likely","Somewhat likely","Somewhat likely","Not likely","More than once a week","Not likely","Not likely","Not likely","Not likely","Very likely","Very likely","Somewhat likely","Very likely","Not likely","Very likely","Not likely","Very likely","Very likely","Not likely","Not likely","Not likely","More than once a week","Yes","I am delighted about the location for the new facility (centrally located) and look forward to supporting it.  Thank you Jefferson Aquatics for championing this."
"1139","TOfOwbkf","50.49.212.175","Mozilla/5.0 (X11; CrOS x86_64 14541.0.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36","COMPLETED","https://survey.zohopublic.com/zs/7rClYe?fbclid=IwY2xjawIQ4N1leHRuA2FlbQIxMQABHZ9C-4vEQfU1iTsm2TXQe1cJemu26Af6kCeUCiL1H0ZyVB3yGg4ial4Seg_aem_sFN55EMs88V8Vts21cwpug&lang=en","2/6/2025 5:00","2/6/2025 5:13","12 mins 50 secs ","Pool Support and Amenities","Yes, I live here full-time","Marrowstone","55-64","","","1","","","2","","1","Very important",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1,NA,"Yes","Other (Please specify) - travel","Less than once a month","Very likely","Very likely","Somewhat likely","Not likely","Somewhat likely","Somewhat likely","Somewhat likely","Somewhat likely","Not likely","Very likely","Very likely","Not likely","Not likely","Very likely","Very likely","Very likely","Somewhat likely","Somewhat likely","More than once a week","Very likely","Not likely","Not likely","Not likely","Very likely","Very likely","Very likely","Somewhat likely","","Very likely","Somewhat likely","Very likely","","Very likely","Very likely","Very likely","Several times a month","Yes","A sauna is important to have in the facility and would be used weekly, especially during winter months, including for health reasons"
"1140","jVCKsKzN","98.97.38.25","Mozilla/5.0 (iPhone; CPU iPhone OS 18_1_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.1.1 Mobile/15E148 Safari/604.1","COMPLETED","https://survey.zohopublic.com/zs/7rClYe?lang=en","2/6/2025 7:14","2/6/2025 7:24","9 mins 55 secs ","Pool Support and Amenities","Yes, I live here full-time","Quilcene","35-54","","","","","2","","","","Not important",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Other (Please specify) - Barcelona Spain","Don't use an aquatic facility","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Somewhat likely","Somewhat likely","Not likely","Not likely","Not likely","Less than once a month","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Very likely","Very likely","Not likely","Not likely","Not likely","More than once a week","Yes","Pickleball should be a huge part of this effort. It’s clear that there is significant demand for limited pickleball court access. Pickleball is fastest growing sport and swimming is clearly not. I’m glad that location has moved closer to population centroid."
"1149","tdDTvmcl","76.50.212.164","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36","COMPLETED","https://survey.zohopublic.com/zs/7rClYe?lang=en","2/6/2025 10:07","2/6/2025 10:14","6 mins 28 secs ","Pool Support and Amenities","Yes, I live here part-time","Quilcene","75+","2","","","","","","","","Not important",NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Other (Please specify) - pools in Arizona","Don't use an aquatic facility","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Never","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Never","No","too far away"
"1165","gTf8Swyv","24.113.175.68","Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36","COMPLETED","https://survey.zohopublic.com/zs/7rClYe?lang=en","2/6/2025 16:57","2/6/2025 17:24","27 mins 47 secs ","Pool Support and Amenities","Yes, I live here full-time","Port Townsend (outside the city limits)","65-74","0","0","0","0","0","0","2","0","Very important",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,"Yes","Other (Please specify) - YMCA Gig Harbor WA,YMCA  Alexandria, VA. swim clubs in VA.","Less than once a month","Very likely","Very likely","","","Very likely","Somewhat likely","Very likely","Not likely","Somewhat likely","Not likely","Very likely","Not likely","Not likely","Not likely","Somewhat likely","Very likely","Somewhat likely","Not likely","More than once a week","Not likely","Not likely","Not likely","Not likely","Very likely","Very likely","Somewhat likely","Somewhat likely","Somewhat likely","Very likely","Somewhat likely","Somewhat likely","Somewhat likely","Not likely","Not likely","Not likely","More than once a week","Yes","I believe we, especially the kids, need a min of 25 yard pool. I am not sure if 25yd or 25 meter is important for competitive swimming. A separate depend diving area with a 1 and 3 meter board would be great.  I learned how to swim at age 5 and was a junior Olympic swimmer by 8. It is so very important for our kids to swim. They are surrounded by water! Swimming is the best exercise for lungs and body with out jarring impact. Let's do this! Melissa  melmoller@gmail.com"
"1205","DJfb8oEE","73.254.142.249","Mozilla/5.0 (iPad; CPU OS 18_3_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/132.0.6834.100 Mobile/15E148 Safari/604.1","COMPLETED","https://survey.zohopublic.com/zs/7rClYe?lang=en","2/7/2025 13:55","2/7/2025 14:05","9 mins 27 secs ","Pool Support and Amenities","Yes, I live here part-time","Port Ludlow","55-64","","","","","","2","","","Very important",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Other (Please specify) - King County Aquatic Center","More than once a week","Very likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Somewhat likely","Not likely","Not likely","Not likely","Not likely","Not likely","Very likely","Somewhat likely","Not likely","More than once a week","Not likely","Not likely","Not likely","Not likely","Somewhat likely","Somewhat likely","Somewhat likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Somewhat likely","Not likely","Not likely","Never","I am not a Jefferson County voter","I’ll be moving full time to the Port Ludlow area in the fall. When I become a Jefferson County voter, I will vote yes to new pool funding."
"1206","L7EBYv6e","24.113.128.53","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36","COMPLETED","https://survey.zohopublic.com/zs/7rClYe?fbclid=IwY2xjawITZ71leHRuA2FlbQIxMQABHT6oCoUsoJduZW1o5aJmyVy6IUPTagwHReqc0iSD9_XMVCVOeyKDKa6snA_aem_u8SQlYxprS1hM9Mku6curQ&lang=en","2/7/2025 14:25","2/7/2025 14:35","9 mins 44 secs ","Pool Support and Amenities","Yes, I live here full-time","Port Townsend (within city limits)","65-74","","","","","","","1","1","Very important",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,"Yes","Other (Please specify) - out of the area on vacation","Less than once a month","Somewhat likely","","","","","","Very likely","","","","Very likely","","","Very likely","Very likely","","","","Several times a month","","","","","Somewhat likely","","Very likely","","","","","","","","","","Less than once a month","Yes","A recreation center was built in the town of about 20,000 more than 25 years ago and immediately became a major gathering center for many activities including private events and class reunions as well as the pool and fitness activities. It is now going through major expansion.  here is a link to their site.   https://www.brightonco.gov/392/Facility-Rentals"
